T,R,P,S,NumOfTournament,Uncertainty,AdvancedCLimit,AdvancedDLimit,NaiveC,NaiveD,AdvancedC,AdvancedD, infoRequestApproach, EvolutionModel, CommunicationCost
5,3,1,-5,10,1,400000,400000,10,10,10,10,5,3,0
5,3,1,-4,10,1,400000,400000,10,10,10,10,5,3,0
5,3,1,-3,10,1,400000,400000,10,10,10,10,5,3,0
5,3,1,-2,10,1,400000,400000,10,10,10,10,5,3,0
5,3,1,-1,10,1,400000,400000,10,10,10,10,5,3,0
5,3,1,0,10,1,400000,400000,10,10,10,10,5,3,0
5,3,1,1,10,1,400000,400000,10,10,10,10,5,3,0
5,3,1,2,10,1,400000,400000,10,10,10,10,5,3,0
5,3,1,3,10,1,400000,400000,10,10,10,10,5,3,0
5,3,1,4,10,1,400000,400000,10,10,10,10,5,3,0
5,3,1,5,10,1,400000,400000,10,10,10,10,5,3,0
